Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people"
Pond,6.23,6.48,3.49,6.6,22.35,2.32,542,None,40.35,99,16,91
Tap,6.66,8.06,0.76,8.96,26.51,8.59,413,Boiling,78.45,395,31,57
Pond,2.14,7.4,0.54,7.49,27.2,3.93,681,Boiling,65.03,121,7,78
Spring,6.57,6.66,2.67,4.23,8.85,16.44,641,Chlorination,79.54,405,37,87
River,4.25,6.32,2.78,4.11,38.5,1.61,3978,Boiling,83.55,314,28,31
Tap,1.53,7.24,0.53,5.89,27.77,17.31,1432,Boiling,86.26,109,30,84
Spring,8.06,7.02,4.82,3.53,13.51,11.61,668,Filtration,88.45,166,18,68
Tap,5.1,7.75,2.87,8.29,46.87,9.17,2069,Chlorination,89.31,129,8,35
Pond,9.77,8.26,0.76,5.81,0.64,10.99,968,Boiling,58.88,269,27,91
Spring,2.82,8.01,1.56,5.4,36.3,7.52,1180,None,92.25,137,47,31
Spring,4.81,6.69,4,6.56,19.06,2.55,4819,Chlorination,80.37,175,49,58
River,4.48,8.2,2.62,7.96,26.13,15.32,3235,Chlorination,88.73,63,38,59
Well,1.21,8.08,0.94,6.99,14.58,18.56,251,Boiling,99.24,130,39,86
Pond,4.26,8.32,0.51,8.62,16.06,19,4300,Boiling,38.15,327,30,79
Pond,2.88,7.15,2.15,7.41,0.76,13.41,2879,Filtration,55.94,187,18,73
Spring,1.6,7.92,1.69,8.52,36.49,8.21,3998,None,86.46,464,32,92
Spring,2.82,7.48,3.28,7.88,35.54,9.57,790,Filtration,36.04,451,25,26
River,2.33,6.78,4.63,4.35,32.72,13.14,4560,Filtration,67.85,276,44,98
Well,7.34,8.49,1.24,3.37,43.9,16.46,1495,None,90.09,349,0,23
Pond,0.31,6.1,4.28,9.32,45.06,7.49,4489,Boiling,31.33,146,10,86
Lake,6.17,6.41,4.6,9.62,27.82,18.34,3068,Filtration,95.77,334,1,66
Lake,7.61,8.23,4.51,8.09,34.24,6.49,2707,Chlorination,98.47,19,34,35
Well,4.81,6.15,4.76,8.07,0.55,10.62,2577,Filtration,52.56,313,12,13
Tap,9.32,8.22,4.21,4.89,42.32,19.23,1235,None,83.68,41,38,67
River,7.08,7.79,2.97,6.8,40.82,18.76,1058,Filtration,38.9,349,33,43
Well,7.48,6.09,2.05,9.95,1.01,13.91,1170,Filtration,84.1,393,33,47
Lake,1.97,7.07,2.46,8.99,27.14,6.49,3618,Chlorination,63.71,406,34,31
Spring,7.77,7.89,4.36,5.13,45.33,4.38,3659,None,90.22,343,31,83
Lake,8.32,7.46,1.51,5.11,9.07,1.6,3655,Chlorination,44.88,139,44,16
Spring,3.61,8.34,0.8,6.39,17.63,14.17,56,Boiling,77.09,8,11,92
River,2.13,8.17,0.7,5.83,16.55,10.07,1892,None,85.03,78,32,56
Spring,3.85,6.83,4.13,5.6,17.8,11.45,2569,Filtration,44.17,412,17,38
Well,7.4,6.21,3.81,7.39,2.09,9.45,4080,Chlorination,87.28,337,4,31
Spring,4.18,8.36,2.49,3.08,13.95,9.66,4456,Chlorination,97.06,147,18,67
Tap,7.37,7.29,1.37,8.34,14.74,11.43,1948,None,73.13,192,30,87
Well,1.14,6.19,3.39,8.18,43.29,18.29,222,Chlorination,84.94,258,26,1
River,8.06,8.04,0.19,8.81,17.61,0.59,1639,None,67.28,135,41,77
Well,2.53,8.17,2.84,8.89,22.36,16.03,4422,Boiling,71.87,38,37,41
Tap,2.49,7.6,1.99,6.96,19.04,7.81,1757,None,30.93,319,49,37
River,5.9,7.12,4.89,8.46,6.03,14.9,835,None,66.7,286,14,54
Lake,0.7,7.66,2.54,6.45,49.52,18.97,2536,Boiling,70.29,366,45,54
Tap,0.26,7.77,2.76,9.66,41.29,6.13,2525,Boiling,76.9,455,47,33
River,2.61,8.23,3.56,4.33,27.05,1.79,984,Filtration,41.86,462,3,45
Spring,5.38,8.39,2.42,9.41,23.82,4.65,1357,Chlorination,46.9,378,18,42
Well,9.08,7.29,1.12,4.81,32.46,4.44,4887,Boiling,82.92,149,20,1
River,8.46,8,2.69,3.72,16.32,14.84,3060,Boiling,41.73,351,39,35
Well,4.9,8.41,4.72,6.07,2.51,1.24,4477,Chlorination,59.12,4,0,69
Spring,0.37,6.38,2.05,7.3,20.22,1.02,1446,Chlorination,47.53,235,19,35
River,5.35,6.05,3.4,4.62,49.2,13.87,1371,Filtration,68.16,235,21,21
Lake,7.05,8.17,4.89,6.89,9.12,11.13,3224,Filtration,99.08,313,12,68
Tap,3.39,6.49,4.15,8.66,26.39,8.36,1874,None,89.64,456,40,37
River,1.11,6.11,3.3,4.8,0.43,11.51,2499,Filtration,48.86,104,0,53
Spring,2.79,6.4,3.68,7.06,6.1,14.7,3361,Boiling,55.8,206,14,21
River,7.72,6.96,4.68,5.38,29.36,2.07,1142,Boiling,94.3,238,14,74
Well,3.51,6.55,4.8,6.71,14.87,11.07,4309,Chlorination,92.88,318,13,30
Pond,8.12,6.76,4.84,7.67,45.28,16.49,564,Filtration,41.24,316,4,52
River,3.2,8.44,3.13,5.45,20.31,7.25,4827,None,88.05,51,48,92
Lake,1.64,7.76,1.92,9.96,10.4,15.26,4534,None,50.83,107,5,58
River,4.36,7.78,0.67,6.95,27.28,16.91,1588,None,68.07,356,40,96
Tap,4.52,6.24,1.93,8.77,39.75,16.42,3985,None,30.36,32,30,85
River,0.16,7.83,4.71,8.08,0.97,13.01,4724,Chlorination,99.9,21,25,48
Pond,1.17,7.85,4.45,8.97,25.28,14.35,4998,Filtration,83.28,306,24,26
Well,1.85,7.65,2.62,4.22,38.67,15.75,1470,Filtration,46.92,10,48,71
River,1.14,6.57,2.69,4.56,5.18,14.67,3914,Filtration,77.87,126,38,56
Lake,3.42,7.06,1.54,6.41,45.14,9.03,3113,Filtration,50.53,441,39,5
Spring,9.65,8.12,2.27,8.97,13.23,3.18,4490,None,36.26,49,14,45
River,5.09,7.68,3.57,4.38,8.53,6.19,4342,None,59.77,197,5,24
River,6.28,7.83,2.01,9.8,29.46,4.14,3362,Chlorination,72.96,16,0,97
Tap,3.56,7.47,0.94,3.89,8.75,7.23,1636,Chlorination,36.28,429,40,8
Lake,3.23,7.12,2.7,4.23,33.99,9.79,2912,None,66.29,43,6,63
Pond,0.23,7.9,1.13,4.17,24.51,19.18,1472,Boiling,66.04,184,3,99
Spring,5,6.17,4.87,7.1,5.5,19.19,1244,Filtration,74.01,388,0,30
Well,4.84,7.68,1.95,9.42,45.62,15.39,3737,Chlorination,47.13,38,40,18
River,1.58,8.49,4.55,4.79,33.66,19.6,2098,None,31.44,441,1,64
Pond,7.64,7.95,1.13,6.87,27.3,19.96,2597,Filtration,52.74,495,47,87
Spring,4.93,6.73,0.95,4.23,18.72,17.71,2512,Filtration,57.9,136,33,97
Well,3.39,6.69,3.08,7.42,6.74,1.59,4514,None,74.5,476,34,16
Pond,1.47,7.67,3.9,3.86,35.38,8.52,258,Boiling,95.11,278,45,33
Lake,5.52,8.24,2.83,6.44,40.68,10.68,2358,Boiling,44.24,430,12,98
Lake,7.53,7.44,1.15,7.59,6.29,2.48,3393,Chlorination,78.11,163,16,35
Spring,2.82,7.32,0.19,7.05,24.73,16.17,3778,None,36.82,30,9,12
Well,2.19,6.4,3.09,3.98,24.24,2.97,3411,Chlorination,43.34,339,2,58
Lake,5.22,7.79,0.66,4.13,17.5,7.67,1268,Boiling,65.64,22,3,88
Spring,1.55,7.76,1.72,7.7,39.47,1.38,939,Chlorination,79.59,439,24,75
Lake,6.67,8.42,3.38,8.66,4.98,10.49,2376,Chlorination,90.1,198,36,20
Lake,6.05,6.75,0.49,9.36,10.25,11.94,3951,Boiling,82.07,173,42,64
Pond,0.87,7.89,0.64,8.7,0.08,14.7,195,Filtration,31.07,57,37,5
Pond,0.37,7.09,0.31,9.82,18.65,6.79,4157,Filtration,77.88,419,28,10
Lake,6.2,7.4,4.98,5.86,14.56,11.81,3096,Boiling,87.73,195,0,79
Tap,2.94,8.04,1.94,5.32,43.35,14.68,3635,Filtration,66.79,87,29,21
Pond,0.86,6.55,4.53,3.2,37.29,15.24,561,None,97.59,443,38,10
Well,7.59,6.86,1.47,6.15,4.22,6.03,3449,Filtration,30.3,141,9,36
Spring,3.14,7.93,3.77,7.56,37.05,1.35,3366,Boiling,87.31,280,28,25
Spring,4.6,7.43,1.1,8.71,33.77,0.75,3123,None,53.44,454,43,56
Well,2.37,6.23,2.49,4.87,14.09,15.36,2891,Chlorination,75.53,206,31,25
Well,6.27,7.08,4.12,6.6,0.77,7.71,39,Boiling,78.54,171,43,20
Well,3.01,7.47,4.08,7.63,5.76,2.68,1767,Boiling,51.44,301,0,56
Well,9.68,8.27,3.97,6.86,12.5,3.69,2504,Filtration,99.68,396,40,25
River,7.03,6.47,4.12,4.92,40.83,15.32,787,None,37.23,317,16,14
Spring,1.37,8.01,1.06,8.57,23.27,11.98,1876,Boiling,40.99,274,11,62
River,4.17,6.33,2.41,4.21,45.92,10.03,4097,None,92.45,395,1,34
Lake,3.85,6.61,2.42,9.33,39.46,12.46,1492,None,38.34,367,8,10
Lake,5.34,6.61,4.45,9.67,14.36,2.75,1129,Filtration,56.69,345,11,72
Spring,8.42,8.19,1.48,5.56,42.27,6.38,2263,Boiling,81.32,47,24,86
Lake,5.83,6.5,4.66,5.63,5.84,7.48,4872,None,85.4,160,35,67
Well,0.62,7.97,2.25,8.2,1.81,6.29,4509,None,96.83,462,43,93
River,6.55,7.15,3.35,6.19,30.43,17.29,4021,Chlorination,85.27,164,49,91
Well,0.08,8.5,1.34,3.2,17.09,11.63,4305,Filtration,89.12,389,34,88
Lake,7.8,8.1,2.05,9.44,16.47,14.59,2185,Boiling,96.46,378,21,85
Pond,6.67,7.85,3.55,6.02,34.36,4.73,1644,None,68.76,216,32,88
River,3.09,8.18,2.56,4.42,42.51,5.28,3560,Filtration,54.04,116,49,89
Well,2.92,7.59,4.65,6.89,16.11,4.51,2685,Boiling,83.31,336,20,49
Spring,7.98,8.11,3.69,4.53,16.25,13.76,4821,None,41.45,426,39,28
Well,7.83,6.65,2.82,4.44,26.69,6.98,1412,Boiling,34.78,250,21,63
Pond,3.52,6.24,4.43,6.82,32.66,8.1,1221,Boiling,84.97,355,27,40
Lake,2.99,7.54,3.33,5.74,10.15,14.18,2249,Filtration,96.55,433,3,95
River,5.6,7.09,3.24,7.01,45.63,19.44,2239,Filtration,60.97,243,25,25
Spring,0.08,7.07,1.23,9.98,32.72,3.24,4202,Chlorination,41.28,429,22,27
River,0.83,7.32,1.97,9.01,31.26,1.25,4422,Chlorination,64.79,246,47,83
Spring,1.26,6.9,3.42,3.05,45.21,3.9,643,Chlorination,57.53,72,48,47
River,1.85,7.57,4.46,3.35,45.36,14.7,4452,None,56.07,283,22,65
Lake,5.12,6.08,1.58,7.27,6.78,3.89,2548,Chlorination,73.97,482,40,22
Spring,9.92,8.42,1.08,7.38,7.25,11.69,4603,Boiling,42.23,194,7,38
Tap,6.53,8.31,2.97,9.15,38.1,11.81,3805,Filtration,56.63,266,31,68
River,0.61,8.34,0.34,7.4,47.84,5.89,4290,Boiling,90.81,403,38,20
River,5.26,6.91,3.57,4.59,33.33,1.37,4142,Filtration,81.08,86,43,85
Well,4.97,7.33,3.52,6.28,20.57,7.98,1385,Filtration,33.89,245,0,48
Spring,1.44,8.39,1.77,8.66,34.17,3.74,2584,Boiling,65.97,157,29,74
Pond,9.2,8.26,4.46,9.46,11.44,3.69,1601,Boiling,36.39,356,27,93
Tap,4.41,7.98,2.51,4.66,49.9,10.45,4942,None,97.02,35,16,91
Lake,9.95,7.02,3.23,6.78,21.55,13.46,4804,Filtration,47.12,235,22,35
Well,4.2,7.41,1.05,4.11,46.58,1.51,3317,Chlorination,95.28,247,37,80
Tap,6.08,7.98,2.09,6.48,21.54,11.57,807,None,88.38,459,23,84
Spring,1.05,6.68,4.31,3.63,46.41,4.92,2659,Chlorination,68.6,99,21,36
Tap,4.54,7.57,1.06,9.59,16.78,13.47,114,None,53.54,226,4,99
River,2.39,8.07,1.95,7.47,38.03,16.2,2727,Filtration,90.06,118,24,88
River,8.36,7.77,1.59,8.98,47.55,16.14,4726,Boiling,40.69,353,6,87
Well,7.84,7.2,0.76,9.99,32.3,7.4,2266,Boiling,42.6,195,21,93
Spring,8.24,7.46,1.45,4.28,33.88,11.35,4292,Filtration,45.73,87,43,41
Spring,7.24,8.47,1.16,7.86,5.14,15.87,4496,Boiling,71.84,35,36,61
Tap,8.33,7.5,4.62,9.21,23.71,1.22,3901,Filtration,52,313,33,98
Well,2.01,7.96,3.71,7.03,44.34,12.11,2728,Filtration,99.24,27,35,84
Spring,4.52,7.82,1.58,7.48,12.05,16.73,4171,Filtration,43.66,38,48,5
Pond,6.92,7.75,3.82,5.85,39.42,7.45,1449,None,86.39,321,39,84
Pond,6.37,7.79,0.11,7.72,33.79,9.11,4382,Boiling,36.71,426,19,7
River,7.16,7.14,2.63,5.77,11.15,13.97,1568,None,54.74,4,36,68
Tap,2.24,7.19,1.25,6.34,14.14,1.36,1322,Chlorination,47.06,475,16,39
Lake,0.98,7.17,0.57,3.72,21.38,7.71,860,Filtration,98.38,140,3,9
River,9.17,6.08,4.42,3.05,6.26,5.91,741,Boiling,31.8,227,49,30
Well,5.6,6.6,1,3.39,45.67,0.34,1730,Chlorination,80.52,8,17,29
Spring,1.54,6.39,4.11,4.35,36.97,3.92,4904,Filtration,47.34,358,27,50
River,7.93,8.22,2.07,6.2,18.25,7.92,2933,Chlorination,86.79,477,49,84
Lake,9.15,6.69,0.07,3.15,14.98,3.95,3518,None,51.79,56,15,35
Lake,1.7,6.35,3.66,4.09,34.48,12.05,4509,None,43.11,282,42,60
Pond,8.17,6.3,2.98,8.47,21.21,8.97,4526,Boiling,78.51,444,7,26
Well,9.33,7.75,1.72,8.34,11.47,0.79,3167,Chlorination,48.03,460,43,34
River,9.38,6.02,1.41,8.53,21.51,5.5,1918,Chlorination,63.99,489,17,59
Tap,9.14,7.18,0.37,9.45,43.56,0.39,2218,None,39.21,358,49,31
River,5.46,6.3,4.71,3.83,3.43,7.16,1340,None,80.72,177,28,89
Pond,3.56,8.12,2.47,4.14,18.42,5.18,4639,Boiling,58.48,475,39,3
Lake,0.07,8.4,0.43,5.33,48.12,13.76,1514,Filtration,39.84,81,15,90
Well,0.61,8.4,4.34,9.41,0.74,6.15,1411,Boiling,81.91,417,29,99
Well,4.29,7.1,1.39,8.43,44.53,7.5,3036,None,37.24,84,48,26
Tap,3.99,7.61,1.02,5.27,18.74,14.51,4167,Boiling,70.24,64,33,46
Well,1.85,7.5,1.4,3.61,9.48,9.62,1022,Filtration,72.52,428,29,5
Pond,3.95,6.88,2.82,7.31,0.75,11.13,4627,None,95.12,342,20,81
Pond,1.75,7.11,0.37,4.8,3.53,16.83,2286,Filtration,40.57,289,21,25
Pond,8.49,6.16,2.41,6.72,8.59,4.14,2758,Boiling,75.73,355,46,23
Well,2.98,7.99,4.48,9.59,1.27,19.78,4672,Filtration,56.65,456,24,70
Well,5.99,6.6,0.94,7.01,16.79,18,3771,None,58.06,135,21,43
Pond,5.03,7.15,1.66,9.47,2.24,5.73,1112,None,65.13,249,27,13
Well,0.52,7.2,1.98,5.75,34.61,17.86,1945,Filtration,46.36,497,38,12
Well,9.42,7.4,2.93,7.43,40.95,15.08,4808,Boiling,62.28,93,32,25
Lake,5.27,8.04,4.6,9.26,44.37,18.62,1558,Boiling,78.08,47,1,42
River,3.25,7.73,1.97,7.12,27.46,13.82,3879,Boiling,62,419,3,42
Spring,1.58,7.66,0.35,7.3,47.33,13.49,641,Boiling,32.98,99,15,65
Well,3.39,7.32,1.74,8.01,0.28,0.07,2237,Chlorination,48.05,337,11,86
Spring,0.21,6.24,0.95,9.17,6.7,9.49,4907,Chlorination,54.6,193,16,27
Spring,3.64,7.01,3.26,3.62,14.66,4.01,3486,Filtration,54.83,116,35,0
Lake,5.31,8.39,0.15,5.36,39.45,6.48,3225,Chlorination,35.67,266,15,95
Well,8.72,8.49,1.46,5.78,44.27,19.58,1014,Chlorination,61.47,307,38,11
Pond,6.87,7.83,2.73,9.37,30.91,1.71,2021,Chlorination,78.44,163,22,49
Spring,1.12,6.57,1.39,9.69,19.16,14.45,2676,Filtration,33.41,478,7,52
Well,1.48,6.25,2.75,3.84,33.29,3.46,1540,Chlorination,82.56,286,8,59
Tap,4.28,7.04,0.57,3.83,9.04,0.15,2936,Boiling,96.86,23,13,54
Pond,1.96,8.14,4.71,9.54,22.89,10.03,3106,Boiling,30.65,493,8,34
Tap,0.28,7.8,1.45,5.07,25.38,3.22,783,Filtration,43.56,404,46,60
Tap,8.05,8.21,4.62,4.69,5.24,19.31,670,Filtration,68.04,95,25,25
Spring,0.2,7.54,1.63,3.25,1.69,4.07,2769,Filtration,45.26,496,35,30
Tap,8.31,6.33,3.91,4.93,37.51,3.84,2573,None,83.52,253,2,56
Lake,1.44,6.29,1.23,7.85,26.74,0.64,2584,Chlorination,51.85,413,9,11
Lake,9.75,6.12,3.35,5.98,16.61,6.6,4942,Filtration,50.55,120,24,92
Spring,6.04,7.42,1.62,6.62,21.86,0.48,1277,Filtration,30.06,71,3,4
Well,7.35,6.61,2.55,9.42,47.89,9.98,3043,Filtration,48.91,352,29,98
River,1.1,7.84,3.37,3.8,19.25,10.11,3172,Boiling,45.24,370,49,6
Well,8.62,7.72,2.94,3.5,5.17,1.06,3782,Filtration,54.03,63,10,15
Well,8.39,6.8,2.88,8.96,23.18,4.8,177,Boiling,40.34,242,18,95
Well,6.53,6.44,0.33,8.42,32.4,16.64,275,Boiling,71.63,126,49,51
Well,5.02,6.26,1.25,4.85,0.61,9.25,2359,None,46.71,372,12,80
Pond,7.21,7.84,2.86,5.27,16.62,8.69,3481,Filtration,88.22,38,35,20
River,0.06,7.13,0.09,5.17,19.68,13.98,4886,None,49.92,384,2,26
Pond,5.92,6.81,1.25,7.53,23.19,14.3,3359,Filtration,44.76,352,47,78
Tap,8.47,8.14,1.15,3.43,15.08,15.24,1424,Chlorination,33.97,425,13,22
Well,3.57,7.48,1.25,6.43,33.35,16.61,4122,Filtration,81.79,76,9,71
Lake,1.08,7.3,2.68,3.94,47.24,4.65,2960,Filtration,65.57,469,37,24
Spring,4.21,7.86,2.91,8.74,45.7,1.33,2469,Filtration,37.96,4,39,10
Spring,7.27,8.04,4.54,5.66,33.22,7.61,3085,Filtration,45.49,139,26,62
Pond,1.07,7.72,1.93,6.69,25.34,17.1,2372,Filtration,99.91,251,23,56
Pond,2.06,7.1,4.63,3.21,41.29,1.56,4068,Filtration,86.42,156,15,84
Lake,1.48,6.95,3.26,3.41,41.8,11.52,1590,None,54.49,258,9,53
Well,7.97,7.93,4.56,7.73,41.48,14.02,4380,Chlorination,67.98,316,26,9
River,0.63,7.29,4.17,8.37,7.89,9.63,1112,None,59.12,434,6,49
Tap,6.87,7.76,3.44,7.97,1.27,5.1,1068,Chlorination,32.55,419,27,72
Spring,3.66,8.23,1.78,8.16,49.16,6.53,2545,None,84.51,366,25,0
Tap,7.56,8.29,1.21,3.73,47.98,1.43,3649,None,80.19,236,17,85
River,9.64,6.69,1.11,7.85,28.22,5.85,1814,Filtration,58.62,74,12,69
Pond,1.15,6.47,4.76,4.27,49.65,0.89,3907,None,89.21,473,7,29
Spring,3.14,6.65,4.79,3.69,38.53,14.53,3731,Chlorination,67.43,385,26,54
Tap,8.1,7.88,3.62,8.3,25.87,17.96,2192,Boiling,34.56,28,13,97
Pond,2.66,6.93,4.42,9.23,19.47,12.67,81,Chlorination,48.16,40,40,76
River,2.15,6.43,4.59,8.02,29.64,13.13,3706,None,62.32,28,43,85
Tap,8.25,6.25,2.56,8.64,25.79,9.44,3176,Boiling,37.24,491,5,5
Well,9.87,6.82,3.15,9.94,49.69,3.12,1825,Filtration,69.98,99,19,23
Pond,5.57,6.34,2.09,3.94,24.52,0.15,81,Boiling,38.44,319,27,84
River,2.78,6.39,2.09,9.76,41.8,6.88,93,Filtration,44.04,57,22,86
Tap,3.99,7.71,0.19,7.21,40.68,15.03,342,Chlorination,92.58,210,11,4
Well,1.7,6.05,2.17,8.69,3.57,19.21,2408,Boiling,99.99,137,23,6
Well,7.62,6.29,3.37,7.55,4.35,8.62,1854,Boiling,68.52,10,43,2
River,7.73,8.11,2.11,6.99,32.99,7.31,3999,Boiling,73.38,390,21,12
Lake,8.75,8.11,4.36,7.93,12.96,8.92,1089,Filtration,85.82,332,25,53
Spring,0.27,6.82,1.66,5.24,32.88,8.56,623,Filtration,78.73,488,21,62
River,5.62,6.22,0.66,9.47,7.23,12.52,867,Chlorination,42.77,363,6,75
Well,2.14,7.76,4.06,3.81,19.85,14.68,2476,Chlorination,58.82,188,14,5
Well,3.41,6.9,3.37,5.23,5.12,15.7,3472,None,67.46,449,47,97
River,7.85,6.11,1.21,3.22,14.1,12.99,170,Filtration,55.18,93,29,78
Lake,1.92,6.39,2.68,4.9,4.41,8.75,1782,Chlorination,42.33,341,3,46
Spring,6.38,6.34,2.01,4.53,48.53,19,577,Boiling,81.53,180,5,81
Tap,6.55,7.47,4.69,3.35,19.75,14.22,67,Boiling,43.92,320,47,54
River,9.54,8.25,3.04,6.44,45.06,8.53,1515,Boiling,48.23,282,46,48
Spring,7.75,7.98,0.79,6.28,48.56,8.93,0,Chlorination,50.06,390,1,56
Spring,8.04,7.37,2.51,3.54,45.48,16.36,2198,Boiling,41.32,320,30,2
Pond,5.32,7.06,4.31,4.83,22.75,8.81,901,Boiling,89.47,57,23,21
Well,1.87,7.55,3.36,9.67,38.94,10.33,4845,Filtration,72.74,24,34,34
Tap,4.26,7.11,4.21,3.78,7.68,5.83,794,Filtration,88.43,303,46,27
River,5.49,6.62,1.25,5.14,4.74,16.78,2066,Chlorination,64.56,259,30,41
Well,6.78,7.7,4.44,3.25,43.85,10.45,1819,Filtration,66.37,477,24,11
Pond,6.08,8.18,3.78,4.04,1.56,11.05,370,None,73.13,391,7,0
Pond,3.94,6.93,3.64,7.9,48.62,17.61,2538,Chlorination,55.96,496,11,99
Well,2.65,8.1,1.73,5.57,33.61,18.41,3907,None,64.76,212,1,93
Lake,1.68,7.08,4.44,6.16,20.98,16.48,2054,None,68.28,114,14,22
Spring,6.94,7,3.19,4.1,7.07,1.31,2596,Chlorination,96.75,451,39,27
River,6.45,6.07,4.26,7.77,36.16,8.87,4466,Filtration,91.8,187,31,68
River,6.87,7.74,1.8,8.26,28.16,6.87,1688,Filtration,39.05,259,10,35
River,3.73,8.02,0.73,4.27,35.56,4.27,4852,Chlorination,32.89,135,16,53
Well,2.62,7.66,1.66,3.31,20.9,18.18,3321,None,77.62,489,20,46
Lake,7.6,6.38,2.28,3.57,3.31,17.8,1138,Chlorination,33.44,89,21,55
Tap,7.74,6.26,2.67,7.6,15.75,9.31,2621,Chlorination,34.22,220,32,9
Pond,4.56,7.43,2.55,3.95,15.75,2.69,2728,Boiling,41.15,15,28,4
Well,6.12,7,2.73,6.46,0.43,0.27,1165,Boiling,54.62,146,14,13
Tap,3.74,7.07,4.21,4.07,0.48,8.77,1508,None,60.45,384,20,23
Pond,7.02,8.42,0.85,4.19,16.54,0.8,3841,Filtration,66.36,100,1,62
Pond,8.36,7.81,1.58,3.03,36.38,12.19,4558,Boiling,99.46,417,41,27
Lake,6.88,7.03,4.44,5.25,31.2,12.17,4576,Boiling,56.97,476,37,20
Spring,5.13,6.05,2.8,3.63,11.95,17.98,4918,None,46.99,218,2,75
River,4.59,6.09,2.92,5.76,30.14,3.8,523,Chlorination,70.27,367,24,19
Tap,6.42,7.71,2.39,7.18,32.37,7.43,2258,Boiling,45.06,44,12,61
Well,6.8,8.09,2.74,5.57,26.13,17.19,4339,Filtration,95.84,62,23,95
Tap,5.59,7.77,0.99,7.94,26.07,9.49,238,None,48.15,349,30,50
Spring,6.25,7.01,2.73,8.19,18.49,1.19,1220,Boiling,99.3,389,14,39
